nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
522	1.52014	1.98841	1.30804	1.06837	False
523	1.21712	1.5817	1.29955	1.06143	False
525	0.710192	0.871471	1.22709	1.00225	False
526	0.980242	1.31022	1.33663	1.09171	False
527	0.954669	1.21735	1.27515	1.0415	False
528	1.16978	1.50218	1.28416	1.04886	False
529	0.929077	1.23294	1.32706	1.0839	False
530	1.03522	1.63304	1.57748	1.28844	False
532	0.816013	1.10413	1.35308	1.10515	False
533	1.87894	3.03564	1.61562	1.31958	False
534	1.11189	1.58191	1.42272	1.16203	False
535	0.725557	0.936131	1.29022	1.05381	False
537	1.44327	2.18653	1.51498	1.23739	False
538	4.82375	6.63658	1.37581	1.12372	False
539	2.05722	2.84448	1.38269	1.12933	False
540	1.6497	2.27669	1.38006	1.12719	False
541	4.55677	8.84139	1.94028	1.58475	False
542	10.086	13.6761	1.35595	1.1075	True
543	3.54167	4.55916	1.28729	1.05142	False
544	0.91277	1.40968	1.5444	1.26141	False
545	7.51819	12.0294	1.60003	1.30686	False
546	6.34771	8.74037	1.37693	1.12463	False
547	1.976	2.58451	1.30796	1.06829	False
548	0.787201	1.00461	1.27617	1.04234	False
550	0.832696	1.12591	1.35213	1.10438	False
551	1.91862	2.62767	1.36956	1.11861	False
552	1.1436	1.63404	1.42885	1.16704	False
553	0.486416	0.660864	1.35864	1.10969	False
554	1.42225	1.87924	1.32131	1.0792	False
555	3.35872	4.42354	1.31703	1.07571	False
556	20.6014	30.5722	1.48399	1.21207	True
557	2.41596	3.41579	1.41384	1.15478	False
559	2.0824	2.86549	1.37605	1.12391	False
560	0.988285	1.46773	1.48513	1.213	False
561	2.48696	3.09033	1.24261	1.01493	False
562	2.14859	2.77943	1.2936	1.05657	False
564	3.06618	3.9843	1.29944	1.06134	False
565	0.880996	1.30452	1.48073	1.20942	False
566	1.29071	1.73264	1.3424	1.09643	False
567	1.25688	1.90742	1.51759	1.23951	False
568	0.647921	0.876556	1.35288	1.10499	False
569	1.14782	1.48208	1.29121	1.05462	False
571	0.646335	0.826284	1.27841	1.04417	False
572	0.671834	0.916935	1.36482	1.11474	False
573	1.46784	2.2029	1.50078	1.22579	False
574	8.58907	17.1479	1.99647	1.63066	False
575	1.1736	1.66689	1.42032	1.16007	False
576	2.34004	3.55664	1.5199	1.24141	False
577	0.744247	1.00691	1.35292	1.10502	False
578	1.20437	1.5473	1.28474	1.04933	False
579	0.925186	1.74438	1.88544	1.53997	False
580	0.819955	1.18074	1.44	1.17615	False
581	3.8158	5.53206	1.44978	1.18413	False
582	0.958956	1.25849	1.31236	1.07189	False
584	10.8925	17.5593	1.61206	1.31668	True
585	0.496405	0.667831	1.34533	1.09883	False
586	2.04519	2.67495	1.30793	1.06827	False
587	2.61264	4.16657	1.59477	1.30256	False
588	4.96916	8.49934	1.71042	1.39701	False
589	3.31033	4.6797	1.41367	1.15464	False
590	1.3803	1.87891	1.36123	1.11181	False
591	0.770236	1.02257	1.32761	1.08434	False
592	3.71808	5.5199	1.48461	1.21258	False
593	2.15283	3.0466	1.41516	1.15585	False
594	1.81461	2.74251	1.51135	1.23442	False
595	1.54479	2.06122	1.3343	1.08981	False
596	0.794905	1.05853	1.33165	1.08765	False
597	2.33637	3.38762	1.44995	1.18428	False
598	0.717616	0.95902	1.3364	1.09153	False
599	2.34324	3.14818	1.34352	1.09734	False
600	0.493347	0.650097	1.31773	1.07628	False
601	0.908781	1.30758	1.43883	1.17519	False
602	0.882045	1.16792	1.3241	1.08148	False
603	4.60735	6.1178	1.32784	1.08453	False
604	0.798575	1.02277	1.28075	1.04607	False
605	0.358372	0.455239	1.2703	1.03754	False
606	2.78194	3.50123	1.25856	1.02795	False
607	0.908119	1.3234	1.45729	1.19027	False
608	2.422	3.28645	1.35692	1.10829	False
610	1.82476	2.60644	1.42838	1.16665	False
611	1.05897	1.35388	1.27849	1.04423	False
612	1.10825	1.4646	1.32154	1.07939	False
613	5.60377	7.82782	1.39689	1.14093	False
614	1.17812	1.93029	1.63845	1.33823	False
615	2.00403	2.60367	1.29922	1.06116	False
616	0.848257	1.04667	1.23391	1.00782	False
617	2.36537	3.45839	1.4621	1.19419	False
618	0.642068	0.8011	1.24769	1.01907	False
619	3.24292	4.20329	1.29614	1.05865	False
621	0.408251	0.517832	1.26842	1.036	False
622	0.832562	1.04725	1.25786	1.02738	False
623	0.869828	1.31497	1.51175	1.23475	False
625	1.33683	1.82533	1.36542	1.11523	False
626	3.14585	4.68125	1.48807	1.21541	False
627	0.91254	1.1951	1.30964	1.06967	False
628	0.596398	0.792147	1.32822	1.08484	False
629	0.926118	1.36494	1.47383	1.20377	False
630	3.4313	5.09602	1.48516	1.21303	False
632	4.21035	6.05959	1.43921	1.1755	False
633	2.4619	3.73002	1.5151	1.23748	False
635	1.56431	2.12765	1.36012	1.1109	False
636	0.797216	1.01728	1.27605	1.04223	False
637	1.60455	2.40066	1.49616	1.22201	False
638	1.93663	3.17605	1.63999	1.33949	False
639	1.14213	1.51048	1.32251	1.08018	False
640	2.17957	3.20324	1.46966	1.20037	False
641	2.0208	2.48772	1.23106	1.00549	False
642	0.998108	1.28271	1.28515	1.04966	False
643	2.88887	4.16193	1.44068	1.1767	False
644	3.47886	5.37498	1.54504	1.26194	False
645	4.14246	7.79771	1.88239	1.53747	False
646	1.82917	2.67031	1.45984	1.19235	False
647	0.711976	0.970735	1.36344	1.11361	False
648	0.779581	1.05457	1.35274	1.10487	False
649	0.874193	1.10029	1.25863	1.02801	False
650	1.71018	2.18112	1.27538	1.04168	False
651	1.60649	1.97789	1.23119	1.00559	False
652	1.39863	1.79532	1.28363	1.04843	False
653	0.799131	1.17995	1.47654	1.20599	False
654	1.3223	1.90286	1.43905	1.17537	False
655	0.733877	1.00614	1.37099	1.11978	False
656	0.752354	0.949794	1.26243	1.03111	False
657	2.47674	3.78779	1.52934	1.24912	False
658	0.725916	0.966033	1.33078	1.08694	False
659	1.88	2.68139	1.42628	1.16494	False
661	6.85994	10.268	1.4968	1.22254	False
662	1.20364	2.01858	1.67706	1.36977	False
663	1.85746	2.42417	1.3051	1.06596	False
664	0.843713	1.06587	1.26331	1.03183	False
665	3.29873	4.29377	1.30164	1.06314	False
666	2.09977	2.84941	1.35701	1.10836	False
